name,addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,fixme
,177,Seig Street,,,Monterey,VA,24465,38.411354593000048,-79.58774807,
,210,Seig Street,,,Monterey,VA,24465,38.411671531000017,-79.58826902,
,240,Seig Street,,,Monterey,VA,24465,38.411697559000061,-79.58881984,
,261,Seig Street,,,Monterey,VA,24465,38.411227646000043,-79.58928966,
,575,Seig Street,,,Monterey,VA,24465,38.411463226000080,-79.59251857,
,309,Shady Lane,,,Monterey,VA,24465,38.274465654000039,-79.7219916,
,605,Shady Lane,,,Monterey,VA,24465,38.273444746000052,-79.72660907,
,1049,Shady Lane,,,Monterey,VA,24465,38.269129379000049,-79.72206439,
,1271,Shady Lane,,,Monterey,VA,24465,38.267655686000069,-79.72449194,
,1421,Shady Lane,,,Monterey,VA,24465,38.266795629000050,-79.72284995,
,1582,Shady Lane,,,Monterey,VA,24465,38.264136659000030,-79.72457299,
,329,Sounding Knob Road,,,Monterey,VA,24465,38.402915396000019,-79.55528,
,414,Sounding Knob Road,,,Monterey,VA,24465,38.405930828000059,-79.5557107,
,417,Sounding Knob Road,,,Monterey,VA,24465,38.404113691000070,-79.55619835,
,423,Sounding Knob Road,,,Monterey,VA,24465,38.404339360000051,-79.55724858,
,923,Sounding Knob Road,,,Monterey,VA,24465,38.401047050000038,-79.55821925,
,1448,Sounding Knob Road,,,Monterey,VA,24465,38.393988673000017,-79.56548087,
,1864,Sounding Knob Road,,,Monterey,VA,24465,38.388586849000028,-79.56850631,
,1931,Sounding Knob Road,,,Monterey,VA,24465,38.384965301000079,-79.56865862,
,2287,Sounding Knob Road,,,Monterey,VA,24465,38.382766538000048,-79.57015093,
,2475,Sounding Knob Road,,,Monterey,VA,24465,38.380306018000049,-79.57119153,
,2677,Sounding Knob Road,,,Monterey,VA,24465,38.376657576000071,-79.5722227,
,2827,Sounding Knob Road,,,Monterey,VA,24465,38.375918571000049,-79.57292423,
,3707,Sounding Knob Road,,,Monterey,VA,24465,38.363612070000038,-79.57329595,
DWR Wvpt Highland Wma Sounding Knob Tower,4285,Sounding Knob Road,,,Monterey,VA,24465,38.356550031000040,-79.57654335,yes
,30,Spruce Street,,,Monterey,VA,24465,38.412735585000057,-79.58290903,
,40,Spruce Street,,,Monterey,VA,24465,38.412606606000047,-79.58297506,
,49,Spruce Street,,,Monterey,VA,24465,38.412353372000041,-79.58273001,
,50,Spruce Street,,,Monterey,VA,24465,38.412465051000019,-79.58318006,
,59,Spruce Street,,,Monterey,VA,24465,38.412295236000027,-79.58283631,
,68,Spruce Street,,,Monterey,VA,24465,38.412217618000049,-79.58325915,
,79,Spruce Street,,,Monterey,VA,24465,38.411966045000042,-79.58289876,
,104,Spruce Street,,,Monterey,VA,24465,38.411771873000070,-79.58351259,
,111,Spruce Street,,,Monterey,VA,24465,38.411554206000062,-79.58313167,
,122,Spruce Street,,,Monterey,VA,24465,38.411592575000043,-79.58385786,
,127,Spruce Street,,,Monterey,VA,24465,38.411320977000059,-79.58335824,
,131,Spruce Street,Apartment,A,Monterey,VA,24465,38.411199137000040,-79.58330035,
,131,Spruce Street,,,Monterey,VA,24465,38.411199137000040,-79.58330035,
,140,Spruce Street,,,Monterey,VA,24465,38.411394150000028,-79.58388708,
,143,Spruce Street,,,Monterey,VA,24465,38.411088292000038,-79.58338489,
,147,Spruce Street,,,Monterey,VA,24465,38.411076225000038,-79.58356612,
,152,Spruce Street,,,Monterey,VA,24465,38.411223534000037,-79.58401463,
,166,Spruce Street,,,Monterey,VA,24465,38.411009679000067,-79.58413566,
,170,Spruce Street,,,Monterey,VA,24465,38.411731511000028,-79.58561961,
,178,Spruce Street,,,Monterey,VA,24465,38.410936711000033,-79.58425306,
,181,Spruce Street,,,Monterey,VA,24465,38.410653906000050,-79.58402504,
,186,Spruce Street,,,Monterey,VA,24465,38.411017013000048,-79.58454961,
,195,Spruce Street,,,Monterey,VA,24465,38.410515465000060,-79.5842336,
,202,Spruce Street,,,Monterey,VA,24465,38.410707966000068,-79.58457901,
,214,Spruce Street,,,Monterey,VA,24465,38.410547643000029,-79.58473157,
,219,Spruce Street,,,Monterey,VA,24465,38.410250937000058,-79.58444111,
,234,Spruce Street,,,Monterey,VA,24465,38.410338180000053,-79.58495472,
,247,Spruce Street,,,Monterey,VA,24465,38.409912281000061,-79.58470833,
,260,Spruce Street,,,Monterey,VA,24465,38.410142135000058,-79.5853732,
,263,Spruce Street,,,Monterey,VA,24465,38.409779157000060,-79.58502216,
,285,Spruce Street,,,Monterey,VA,24465,38.409563459000019,-79.58530044,
,358,Spruce Street,,,Monterey,VA,24465,38.409060570000058,-79.58653814,
,386,Spruce Street,,,Monterey,VA,24465,38.408816469000037,-79.58687965,
,476,Spruce Street,,,Monterey,VA,24465,38.407671586000049,-79.58782444,
,494,Spruce Street,,,Monterey,VA,24465,38.407557331000078,-79.5880689,
,520,Spruce Street,,,Monterey,VA,24465,38.407106560000038,-79.58831991,
,534,Spruce Street,,,Monterey,VA,24465,38.407053185000052,-79.5885227,
,556,Spruce Street,,,Monterey,VA,24465,38.406757822000031,-79.58875543,
,572,Spruce Street,,,Monterey,VA,24465,38.406671467000081,-79.5891016,
,604,Spruce Street,,,Monterey,VA,24465,38.406274266000018,-79.58935383,
,714,Spruce Street,,,Monterey,VA,24465,38.404906419000042,-79.59056398,
,736,Spruce Street,,,Monterey,VA,24465,38.404616372000078,-79.59072242,
,752,Spruce Street,,,Monterey,VA,24465,38.404770333000037,-79.59141424,
,880,Spruce Street,,,Monterey,VA,24465,38.402958355000059,-79.592394,
,932,Spruce Street,,,Monterey,VA,24465,38.402120091000029,-79.59266958,
,936,Spruce Street,,,Monterey,VA,24465,38.399794087000032,-79.59353192,
,1238,Spruce Street,,,Monterey,VA,24465,38.398991277000050,-79.5938038,
,1308,Spruce Street,,,Monterey,VA,24465,38.395575750000027,-79.59791558,
,1310,Spruce Street,,,Monterey,VA,24465,38.395174271000030,-79.59611459,
,158,Strait Creek Road,,,Monterey,VA,24465,38.401848963000070,-79.54718368,
,161,Strait Creek Road,,,Monterey,VA,24465,38.402521936000028,-79.54744671,
,291,Strait Creek Road,,,Monterey,VA,24465,38.403547182000068,-79.54627337,
,307,Strait Creek Road,,,Monterey,VA,24465,38.403828060000080,-79.54615297,
,315,Strait Creek Road,,,Monterey,VA,24465,38.403946311000020,-79.54608245,
,471,Strait Creek Road,,,Monterey,VA,24465,38.407097138000040,-79.54482982,
,555,Strait Creek Road,,,Monterey,VA,24465,38.406009734000058,-79.54158094,
,756,Strait Creek Road,,,Monterey,VA,24465,38.405356387000040,-79.53833683,
,786,Strait Creek Road,,,Monterey,VA,24465,38.406106353000041,-79.53799312,
,839,Strait Creek Road,,,Monterey,VA,24465,38.407426940000050,-79.53949545,
,850,Strait Creek Road,,,Monterey,VA,24465,38.404961002000050,-79.53543594,
,854,Strait Creek Road,,,Monterey,VA,24465,38.407548075000079,-79.53133723,
,892,Strait Creek Road,,,Monterey,VA,24465,38.407508486000040,-79.53679928,
,921,Strait Creek Road,,,Monterey,VA,24465,38.408149293000058,-79.53840498,
,926,Strait Creek Road,,,Monterey,VA,24465,38.408141312000048,-79.5365604,
,986,Strait Creek Road,,,Monterey,VA,24465,38.408338760000049,-79.53648826,
,990,Strait Creek Road,,,Monterey,VA,24465,38.408786948000049,-79.53682097,
,999,Strait Creek Road,,,Monterey,VA,24465,38.409068529000081,-79.5376401,
,1215,Strait Creek Road,,,Monterey,VA,24465,38.412164805000032,-79.53822711,
,1371,Strait Creek Road,,,Monterey,VA,24465,38.414369514000043,-79.53762081,
,1429,Strait Creek Road,,,Monterey,VA,24465,38.415155898000080,-79.53775081,
,1510,Strait Creek Road,,,Monterey,VA,24465,38.416865482000048,-79.53536912,
,1601,Strait Creek Road,,,Monterey,VA,24465,38.417198869000060,-79.53977149,
,1824,Strait Creek Road,,,Monterey,VA,24465,38.420326100000068,-79.54051545,
,2157,Strait Creek Road,,,Monterey,VA,24465,38.427205743000059,-79.54346427,
,2408,Strait Creek Road,,,Monterey,VA,24465,38.428188501000079,-79.54025574,
,3233,Strait Creek Road,,,Monterey,VA,24465,38.436921644000051,-79.53097391,
,3320,Strait Creek Road,,,Monterey,VA,24465,38.438148952000063,-79.53031705,
,3686,Strait Creek Road,,,Monterey,VA,24465,38.443306391000078,-79.52922987,
,3774,Strait Creek Road,,,Monterey,VA,24465,38.443782782000028,-79.52870778,
,3798,Strait Creek Road,,,Monterey,VA,24465,38.444951155000069,-79.52916587,
,3866,Strait Creek Road,,,Monterey,VA,24465,38.446635647000051,-79.52953174,
,3956,Strait Creek Road,,,Monterey,VA,24465,38.446995916000049,-79.53000383,
,4001,Strait Creek Road,,,Monterey,VA,24465,38.448137231000032,-79.53338355,
,75,Sugar Hollow Lane,,,Monterey,VA,24465,38.404318570000036,-79.53939636,
,77,Sugar Hollow Lane,,,Monterey,VA,24465,38.404231108000033,-79.5391076,
,127,Sugar Hollow Lane,,,Monterey,VA,24465,38.403588955000032,-79.540646,
,406,Sugar Hollow Lane,,,Monterey,VA,24465,38.400729501000058,-79.5434674,
,981,Sugar Hollow Lane,,,Monterey,VA,24465,38.397314552000068,-79.53625724,
,990,Sugar Hollow Lane,,,Monterey,VA,24465,38.393757664000070,-79.53857603,
,43,Summit Drive,,,Monterey,VA,24465,38.504566368000042,-79.51673045,
,317,Summit Drive,,,Monterey,VA,24465,38.507604892000067,-79.51550494,
