name,addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,fixme
,31,Doe Hill Road,Apartment,A,McDowell,VA,24458,38.335980782000028,-79.49084163,
,31,Doe Hill Road,,,McDowell,VA,24458,38.335937662000049,-79.49086646,
,101,Doe Hill Road,,,McDowell,VA,24458,38.336849517000068,-79.4905363,
,148,Doe Hill Road,,,McDowell,VA,24458,38.337508343000017,-79.49008939,
,166,Doe Hill Road,,,McDowell,VA,24458,38.337751783000037,-79.49006231,
,195,Doe Hill Road,,,McDowell,VA,24458,38.338205355000071,-79.49046341,
,215,Doe Hill Road,,,McDowell,VA,24458,38.338451041000042,-79.49038076,
,273,Doe Hill Road,,,McDowell,VA,24458,38.339649827000073,-79.49049899,
,299,Doe Hill Road,,,McDowell,VA,24458,38.339712112000029,-79.49012632,
,397,Doe Hill Road,,,McDowell,VA,24458,38.341323205000030,-79.49165181,
,691,Doe Hill Road,,,McDowell,VA,24458,38.345806239000069,-79.49102205,
,1182,Doe Hill Road,,,McDowell,VA,24458,38.352052719000028,-79.48821555,
,1183,Doe Hill Road,,,McDowell,VA,24458,38.352536041000057,-79.48861753,
,1459,Doe Hill Road,,,McDowell,VA,24458,38.356235508000047,-79.48680179,
,2118,Doe Hill Road,,,McDowell,VA,24458,38.362468833000030,-79.4779185,
,2125,Doe Hill Road,,,McDowell,VA,24458,38.362765905000060,-79.478501,
,2214,Doe Hill Road,,,McDowell,VA,24458,38.363010053000039,-79.4764847,
,2235,Doe Hill Road,,,McDowell,VA,24458,38.364145265000040,-79.47748339,
,2253,Doe Hill Road,,,McDowell,VA,24458,38.364315602000033,-79.47706699,
,2263,Doe Hill Road,,,McDowell,VA,24458,38.364461234000032,-79.477107,
,2276,Doe Hill Road,,,McDowell,VA,24458,38.363792528000033,-79.47554679,
,2278,Doe Hill Road,,,McDowell,VA,24458,38.364184732000069,-79.47298436,
,2313,Doe Hill Road,,,McDowell,VA,24458,38.368303020000042,-79.47742381,
,2315,Doe Hill Road,,,McDowell,VA,24458,38.370133772000031,-79.47770036,
,2486,Doe Hill Road,,,McDowell,VA,24458,38.365390538000042,-79.47181351,
,2605,Doe Hill Road,,,McDowell,VA,24458,38.368634076000028,-79.47373731,
,2633,Doe Hill Road,,,McDowell,VA,24458,38.369003882000072,-79.47352668,
,2868,Doe Hill Road,,,McDowell,VA,24458,38.370646647000058,-79.46970442,
,3088,Doe Hill Road,,,McDowell,VA,24458,38.372507492000068,-79.46838673,
,3123,Doe Hill Road,,,McDowell,VA,24458,38.375016417000040,-79.4692521,
,3185,Doe Hill Road,,,McDowell,VA,24458,38.376383176000040,-79.46932367,
,3263,Doe Hill Road,,,McDowell,VA,24458,38.377055361000032,-79.46921257,
,3343,Doe Hill Road,,,McDowell,VA,24458,38.378585887000042,-79.4695889,
,3564,Doe Hill Road,,,McDowell,VA,24458,38.381145362000041,-79.46740719,
,3845,Doe Hill Road,,,McDowell,VA,24458,38.385006188000027,-79.46591872,
,4176,Doe Hill Road,,,McDowell,VA,24458,38.388654718000048,-79.46185689,
,4259,Doe Hill Road,,,McDowell,VA,24458,38.389914268000041,-79.46173108,
,4293,Doe Hill Road,,,McDowell,VA,24458,38.390330311000071,-79.46130282,
,4382,Doe Hill Road,,,McDowell,VA,24458,38.390595968000071,-79.45828417,
,4661,Doe Hill Road,,,McDowell,VA,24458,38.394716097000071,-79.45843188,
,4759,Doe Hill Road,,,McDowell,VA,24458,38.396127933000059,-79.45836019,
,4839,Doe Hill Road,,,McDowell,VA,24458,38.397317498000056,-79.45765822,
,5233,Doe Hill Road,,,McDowell,VA,24458,38.401769703000070,-79.46599485,
,5235,Doe Hill Road,,,McDowell,VA,24458,38.405482934000069,-79.45936522,
,5237,Doe Hill Road,,,McDowell,VA,24458,38.405629819000069,-79.46110624,
,5868,Doe Hill Road,,,McDowell,VA,24458,38.410728174000042,-79.4512204,
,5899,Doe Hill Road,,,McDowell,VA,24458,38.409411386000038,-79.45545888,
,5903,Doe Hill Road,,,McDowell,VA,24458,38.411236583000061,-79.45971393,
,6516,Doe Hill Road,,,McDowell,VA,24458,38.418328929000040,-79.45071019,
,6677,Doe Hill Road,,,McDowell,VA,24458,38.420989272000043,-79.45160207,
,6779,Doe Hill Road,,,McDowell,VA,24458,38.422244544000080,-79.45091418,
