name,addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,fixme
,107,Myers-Moon Road,,,Monterey,VA,24465,38.408651812000073,-79.5752554,
,141,Myers-Moon Road,,,Monterey,VA,24465,38.408450835000053,-79.5760824,
,150,Myers-Moon Road,,,Monterey,VA,24465,38.408643862000069,-79.5766106,
,157,Myers-Moon Road,,,Monterey,VA,24465,38.407970244000069,-79.57587292,
,159,Myers-Moon Road,,,Monterey,VA,24465,38.408261944000060,-79.57628111,
,170,Myers-Moon Road,,,Monterey,VA,24465,38.408418140000038,-79.57680918,
,183,Myers-Moon Road,,,Monterey,VA,24465,38.407818675000037,-79.57608374,
,185,Myers-Moon Road,,,Monterey,VA,24465,38.407392534000053,-79.57558725,
,189,Myers-Moon Road,,,Monterey,VA,24465,38.407196042000059,-79.57581152,
,211,Myers-Moon Road,,,Monterey,VA,24465,38.407054734000042,-79.57601843,
,237,Myers-Moon Road,,,Monterey,VA,24465,38.407408070000031,-79.57719641,
,240,Myers-Moon Road,,,Monterey,VA,24465,38.407116992000049,-79.57851212,
Highland High School,244,Myers-Moon Road,,,Monterey,VA,24465,38.407233150000017,-79.57904828,
Highland Elementary School,252,Myers-Moon Road,,,Monterey,VA,24465,38.407474466000053,-79.5797779,
,255,Myers-Moon Road,,,Monterey,VA,24465,38.406676789000073,-79.57665261,
,271,Myers-Moon Road,,,Monterey,VA,24465,38.407067896000058,-79.57758198,
,285,Myers-Moon Road,,,Monterey,VA,24465,38.406472845000053,-79.57699475,
,303,Myers-Moon Road,,,Monterey,VA,24465,38.406627498000027,-79.57778242,
,371,Myers-Moon Road,,,Monterey,VA,24465,38.405766041000049,-79.57775929,
,386,Myers-Moon Road,,,Monterey,VA,24465,38.406510475000061,-79.57940502,
,437,Myers-Moon Road,,,Monterey,VA,24465,38.404709479000068,-79.5780616,
,530,Myers-Moon Road,,,Monterey,VA,24465,38.398603700000081,-79.57929483,
,532,Myers-Moon Road,,,Monterey,VA,24465,38.396693516000028,-79.57989324,
,567,Narrowfellow Lane,,,Monterey,VA,24465,38.462769857000069,-79.5948102,
,105,Needles Eye Lane,,,Monterey,VA,24465,38.382517542000073,-79.60416196,
,241,Needles Eye Lane,,,Monterey,VA,24465,38.381212605000030,-79.60354832,
,310,Needles Eye Lane,,,Monterey,VA,24465,38.380920911000032,-79.60239041,
,375,Needles Eye Lane,,,Monterey,VA,24465,38.380837102000037,-79.60090167,
,33,North Spruce Street,Apartment,1,Monterey,VA,24465,38.413585318000059,-79.58249014,
,33,North Spruce Street,Apartment,2,Monterey,VA,24465,38.413585318000059,-79.58249014,
,34,North Spruce Street,,,Monterey,VA,24465,38.413453054000058,-79.58211362,
Highland County Public Library,31,North Water Street,,,Monterey,VA,24465,38.413025427000029,-79.58099064,
,40,North Water Street,,,Monterey,VA,24465,38.413049980000039,-79.5805695,
,63,Oakridge Drive,,,Monterey,VA,24465,38.458279916000038,-79.52583136,
,117,Oakridge Drive,,,Monterey,VA,24465,38.459281727000068,-79.52475605,
,65,Our Lane,,,Monterey,VA,24465,38.265605999000059,-79.68498285,
,325,Our Lane,,,Monterey,VA,24465,38.266278050000039,-79.68859829,
,558,Our Lane,,,Monterey,VA,24465,38.266283353000063,-79.69308661,
,19,Overlook Drive,,,Monterey,VA,24465,38.405218939000058,-79.57698623,
,40,Overlook Drive,,,Monterey,VA,24465,38.405136331000051,-79.57603955,
,55,Overlook Drive,,,Monterey,VA,24465,38.405695641000079,-79.5768324,
,66,Overlook Drive,,,Monterey,VA,24465,38.405374344000052,-79.57591696,
,77,Overlook Drive,,,Monterey,VA,24465,38.406035588000059,-79.57660992,
,92,Overlook Drive,,,Monterey,VA,24465,38.405644480000028,-79.57564513,
,115,Overlook Drive,,,Monterey,VA,24465,38.406308924000029,-79.57584085,
,118,Overlook Drive,,,Monterey,VA,24465,38.405919662000031,-79.57539485,
,129,Overlook Drive,,,Monterey,VA,24465,38.406527662000030,-79.57564502,
,134,Overlook Drive,,,Monterey,VA,24465,38.405747168000062,-79.57417974,
,163,Overlook Drive,,,Monterey,VA,24465,38.406655850000050,-79.57520043,
,52,Pecks Lane,,,Monterey,VA,24465,38.467124857000037,-79.51955246,
,529,Pecks Lane,,,Monterey,VA,24465,38.461245608000070,-79.51488737,
,664,Pecks Lane,,,Monterey,VA,24465,38.456806419000031,-79.51659116,
,671,Pecks Lane,,,Monterey,VA,24465,38.460293521000040,-79.51320381,
,697,Pecks Lane,,,Monterey,VA,24465,38.459748108000042,-79.50958984,
,987,Pecks Lane,,,Monterey,VA,24465,38.458076400000039,-79.50840087,
,1031,Pecks Lane,,,Monterey,VA,24465,38.455651604000018,-79.50637763,
,1554,Pecks Lane,,,Monterey,VA,24465,38.448847902000068,-79.51114749,
,172,Possum Trot Lane,,,Monterey,VA,24465,38.465335545000073,-79.52427584,
,204,Possum Trot Lane,,,Monterey,VA,24465,38.465919872000029,-79.52435514,
,309,Possum Trot Lane,,,Monterey,VA,24465,38.466275473000053,-79.52650351,
,485,Possum Trot Lane,,,Monterey,VA,24465,38.468102566000020,-79.52822635,
,629,Possum Trot Lane,,,Monterey,VA,24465,38.468216495000028,-79.53115504,
,644,Possum Trot Lane,,,Monterey,VA,24465,38.469742564000050,-79.53050284,
,720,Possum Trot Lane,,,Monterey,VA,24465,38.469823489000078,-79.53196867,
,795,Possum Trot Lane,,,Monterey,VA,24465,38.470424888000018,-79.53306918,
,814,Possum Trot Lane,,,Monterey,VA,24465,38.470794949000030,-79.53315084,
,880,Possum Trot Lane,,,Monterey,VA,24465,38.471355262000031,-79.53407969,
,922,Possum Trot Lane,,,Monterey,VA,24465,38.471589430000051,-79.53275795,
,1037,Possum Trot Lane,,,Monterey,VA,24465,38.473431187000067,-79.53525796,
,1101,Possum Trot Lane,,,Monterey,VA,24465,38.474075510000027,-79.53566738,
,1117,Possum Trot Lane,,,Monterey,VA,24465,38.473451878000049,-79.53630185,
,1321,Possum Trot Lane,,,Monterey,VA,24465,38.479263166000059,-79.54305638,
,1758,Possum Trot Lane,,,Monterey,VA,24465,38.482927598000060,-79.53704036,
,37,Potomac River Road,,,Monterey,VA,24465,38.412575195000038,-79.57944249,
Highland County Volunteer Fire Department,58,Potomac River Road,,,Monterey,VA,24465,38.412621692000073,-79.57868891,
,59,Potomac River Road,,,Monterey,VA,24465,38.412904186000048,-79.5793145,
,80,Potomac River Road,,,Monterey,VA,24465,38.412881035000048,-79.57859935,
