name,addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,fixme,note
,107,Myers-Moon Road,,,Monterey,VA,24465,38.408651812000073,-79.5752554,yes,
,141,Myers-Moon Road,,,Monterey,VA,24465,38.408450835000053,-79.5760824,yes,
,150,Myers-Moon Road,,,Monterey,VA,24465,38.408643862000069,-79.5766106,yes,
,157,Myers-Moon Road,,,Monterey,VA,24465,38.407970244000069,-79.57587292,yes,
,159,Myers-Moon Road,,,Monterey,VA,24465,38.408261944000060,-79.57628111,yes,
,170,Myers-Moon Road,,,Monterey,VA,24465,38.408418140000038,-79.57680918,yes,
,183,Myers-Moon Road,,,Monterey,VA,24465,38.407818675000037,-79.57608374,yes,
,185,Myers-Moon Road,,,Monterey,VA,24465,38.407392534000053,-79.57558725,yes,
,189,Myers-Moon Road,,,Monterey,VA,24465,38.407196042000059,-79.57581152,yes,
,211,Myers-Moon Road,,,Monterey,VA,24465,38.407054734000042,-79.57601843,yes,
,237,Myers-Moon Road,,,Monterey,VA,24465,38.407408070000031,-79.57719641,yes,
,240,Myers-Moon Road,,,Monterey,VA,24465,38.407116992000049,-79.57851212,yes,
Highland High School,244,Myers-Moon Road,,,Monterey,VA,24465,38.407233150000017,-79.57904828,yes,
Highland Elementary School,252,Myers-Moon Road,,,Monterey,VA,24465,38.407474466000053,-79.5797779,yes,
,255,Myers-Moon Road,,,Monterey,VA,24465,38.406676789000073,-79.57665261,yes,
,271,Myers-Moon Road,,,Monterey,VA,24465,38.407067896000058,-79.57758198,yes,
,285,Myers-Moon Road,,,Monterey,VA,24465,38.406472845000053,-79.57699475,yes,
,303,Myers-Moon Road,,,Monterey,VA,24465,38.406627498000027,-79.57778242,yes,
,371,Myers-Moon Road,,,Monterey,VA,24465,38.405766041000049,-79.57775929,yes,
,386,Myers-Moon Road,,,Monterey,VA,24465,38.406510475000061,-79.57940502,yes,
,437,Myers-Moon Road,,,Monterey,VA,24465,38.404709479000068,-79.5780616,yes,
,530,Myers-Moon Road,,,Monterey,VA,24465,38.398603700000081,-79.57929483,yes,
,532,Myers-Moon Road,,,Monterey,VA,24465,38.396693516000028,-79.57989324,yes,
,567,Narrowfellow Lane,,,Monterey,VA,24465,38.462769857000069,-79.5948102,yes,
,105,Needles Eye Lane,,,Monterey,VA,24465,38.382517542000073,-79.60416196,yes,
,241,Needles Eye Lane,,,Monterey,VA,24465,38.381212605000030,-79.60354832,yes,
,310,Needles Eye Lane,,,Monterey,VA,24465,38.380920911000032,-79.60239041,yes,
,375,Needles Eye Lane,,,Monterey,VA,24465,38.380837102000037,-79.60090167,yes,
,33,North Spruce Street,Apartment,1,Monterey,VA,24465,38.413585318000059,-79.58249014,yes,Check node placement for duplicate
,33,North Spruce Street,Apartment,2,Monterey,VA,24465,38.413585318000059,-79.58249014,yes,Check node placement for duplicate
,34,North Spruce Street,,,Monterey,VA,24465,38.413453054000058,-79.58211362,yes,
Highland County Public Library,31,North Water Street,,,Monterey,VA,24465,38.413025427000029,-79.58099064,yes,
,40,North Water Street,,,Monterey,VA,24465,38.413049980000039,-79.5805695,yes,
,63,Oakridge Drive,,,Monterey,VA,24465,38.458279916000038,-79.52583136,yes,
,117,Oakridge Drive,,,Monterey,VA,24465,38.459281727000068,-79.52475605,yes,
,65,Our Lane,,,Monterey,VA,24465,38.265605999000059,-79.68498285,yes,
,325,Our Lane,,,Monterey,VA,24465,38.266278050000039,-79.68859829,yes,
,558,Our Lane,,,Monterey,VA,24465,38.266283353000063,-79.69308661,yes,
,19,Overlook Drive,,,Monterey,VA,24465,38.405218939000058,-79.57698623,yes,
