name,addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,fixme,note
,12,Fork Drive,,,Head Waters,VA,24442,38.323244062000072,-79.41548891,,
,24,Fork Drive,,,Head Waters,VA,24442,38.323172052000068,-79.41596771,,
,46,Fork Drive,,,Head Waters,VA,24442,38.322875283000030,-79.41614994,,
,62,Fork Drive,,,Head Waters,VA,24442,38.322641132000058,-79.4163102,,
,82,Fork Drive,,,Head Waters,VA,24442,38.322235819000070,-79.41616305,,
,714,Healing Waters Drive,,,Head Waters,VA,24442,38.416710147000060,-79.3848789,,
,11457,Highland Turnpike,,,Head Waters,VA,24442,38.319073962000061,-79.46236332,,
,11459,Highland Turnpike,,,Head Waters,VA,24442,38.319163333000063,-79.46206218,,
,11685,Highland Turnpike,,,Head Waters,VA,24442,38.323393422000038,-79.45860392,,
,11897,Highland Turnpike,,,Head Waters,VA,24442,38.335939788000069,-79.45286469,,
,14115,Highland Turnpike,,,Head Waters,VA,24442,38.322489119000068,-79.4254383,,
,14553,Highland Turnpike,,,Head Waters,VA,24442,38.328233405000049,-79.41483007,,
,14878,Highland Turnpike,,,Head Waters,VA,24442,38.326293474000060,-79.4136209,,
,14879,Highland Turnpike,,,Head Waters,VA,24442,38.326273704000073,-79.41298876,,
,14900,Highland Turnpike,,,Head Waters,VA,24442,38.325946427000069,-79.4133106,,
,14904,Highland Turnpike,,,Head Waters,VA,24442,38.325820617000026,-79.41326804,,
,14915,Highland Turnpike,,,Head Waters,VA,24442,38.325814699000027,-79.41294861,,
,14931,Highland Turnpike,,,Head Waters,VA,24442,38.325562795000053,-79.41273999,,
,14952,Highland Turnpike,,,Head Waters,VA,24442,38.325115236000038,-79.41386637,,
,14959,Highland Turnpike,,,Head Waters,VA,24442,38.324699700000053,-79.41235169,,
,14960,Highland Turnpike,,,Head Waters,VA,24442,38.325096791000078,-79.41313363,,
,15128,Highland Turnpike,,,Head Waters,VA,24442,38.321665123000059,-79.41182163,,
,15242,Highland Turnpike,,,Head Waters,VA,24442,38.321220759000028,-79.41036032,,
,15316,Highland Turnpike,,,Head Waters,VA,24442,38.320929749000072,-79.40946288,,
,15364,Highland Turnpike,,,Head Waters,VA,24442,38.319685707000069,-79.40857087,,
,15442,Highland Turnpike,,,Head Waters,VA,24442,38.319473208000026,-79.40745277,,
,15468,Highland Turnpike,,,Head Waters,VA,24442,38.318874752000049,-79.40706948,,
,15617,Highland Turnpike,,,Head Waters,VA,24442,38.319125427000067,-79.40451592,,
,15629,Highland Turnpike,,,Head Waters,VA,24442,38.318981135000058,-79.40434317,,
,15781,Highland Turnpike,,,Head Waters,VA,24442,38.317393572000071,-79.40224232,,
,15847,Highland Turnpike,,,Head Waters,VA,24442,38.316917027000038,-79.40121069,,
,15852,Highland Turnpike,,,Head Waters,VA,24442,38.315424143000030,-79.4012101,,
,15855,Highland Turnpike,,,Head Waters,VA,24442,38.316767094000049,-79.40086801,,
,15860,Highland Turnpike,,,Head Waters,VA,24442,38.316403995000030,-79.40084974,,
,15888,Highland Turnpike,,,Head Waters,VA,24442,38.310186909000038,-79.40044347,,
,51,Piney Hollow,,,Head Waters,VA,24442,38.327232708000047,-79.43457656,,
,71,Piney Hollow,,,Head Waters,VA,24442,38.326829941000028,-79.43395425,,
,76,Piney Hollow,,,Head Waters,VA,24442,38.326250159000040,-79.43350364,,
,174,Piney Hollow,,,Head Waters,VA,24442,38.326681851000039,-79.4321054,,
,177,Piney Hollow,,,Head Waters,VA,24442,38.327251975000017,-79.43159298,,
,67,Shaws Ridge Trail,,,Head Waters,VA,24442,38.322018774000071,-79.43421376,,
,111,Sparrow Lane,,,Head Waters,VA,24442,38.411973990000028,-79.3803169,,
,117,Sparrow Lane,,,Head Waters,VA,24442,38.410959507000030,-79.38063358,,
,162,Sparrow Lane,,,Head Waters,VA,24442,38.409235218000049,-79.38229366,,
,778,Sparrow Lane,,,Head Waters,VA,24442,38.406719402000078,-79.37079793,,
,11,Spring Run Road,,,Head Waters,VA,24442,38.423765060000051,-79.37114576,,
,21,Spring Run Road,,,Head Waters,VA,24442,38.424331499000061,-79.37207023,,
,1228,Spring Run Road,,,Head Waters,VA,24442,38.431064774000049,-79.39196901,,
,1301,Spring Run Road,,,Head Waters,VA,24442,38.423201472000073,-79.3950392,,
,382,Upper Fork Road,,,Head Waters,VA,24442,38.327884051000069,-79.40350203,,
,415,Upper Fork Road,,,Head Waters,VA,24442,38.329563026000073,-79.40788643,,
,862,Upper Fork Road,,,Head Waters,VA,24442,38.333135819000063,-79.40136318,,
,873,Upper Fork Road,,,Head Waters,VA,24442,38.333688378000033,-79.40128328,,
,935,Upper Fork Road,,,Head Waters,VA,24442,38.336125337000048,-79.40068359,,
,939,Upper Fork Road,,,Head Waters,VA,24442,38.334775312000033,-79.39990525,,
,980,Upper Fork Road,,,Head Waters,VA,24442,38.332983887000069,-79.39941683,,
,1043,Upper Fork Road,,,Head Waters,VA,24442,38.334410262000063,-79.39843703,,
,1235,Upper Fork Road,,,Head Waters,VA,24442,38.335893067000029,-79.39370673,,
,1348,Upper Fork Road,,,Head Waters,VA,24442,38.335012264000049,-79.39306085,,
,1424,Upper Fork Road,,,Head Waters,VA,24442,38.336745351000040,-79.3917938,,
,1818,Upper Fork Road,,,Head Waters,VA,24442,38.339395614000068,-79.38835505,,
,2183,Upper Fork Road,,,Head Waters,VA,24442,38.343890591000040,-79.38446043,,
,2377,Upper Fork Road,,,Head Waters,VA,24442,38.346411581000041,-79.3837284,,
,2577,Upper Fork Road,,,Head Waters,VA,24442,38.348661378000031,-79.38240614,,
,2578,Upper Fork Road,,,Head Waters,VA,24442,38.347821506000059,-79.37853088,,
,1276,Bear Cub Lane,,,McDowell,VA,24458,38.349316009000063,-79.55412513,,
,554,Bertie Lane,,,McDowell,VA,24458,38.324205908000060,-79.49064205,,
,1042,Bertie Lane,,,McDowell,VA,24458,38.323404116000063,-79.48543609,,
,770,Black Bear Ridge Lane,,,McDowell,VA,24458,38.352101095000080,-79.55651125,,
,650,Botkin Hollow Road,,,McDowell,VA,24458,38.406287297000063,-79.43999979,,
,802,Botkin Hollow Road,,,McDowell,VA,24458,38.404513824000048,-79.43646319,,
,1546,Botkin Hollow Road,,,McDowell,VA,24458,38.406269902000069,-79.42423393,,
,2266,Botkin Hollow Road,,,McDowell,VA,24458,38.408818416000031,-79.41268561,,
,2349,Botkin Hollow Road,,,McDowell,VA,24458,38.408960307000029,-79.41060069,,
,2616,Botkin Hollow Road,,,McDowell,VA,24458,38.403108337000049,-79.41083692,,
,2631,Botkin Hollow Road,,,McDowell,VA,24458,38.406689626000059,-79.40660358,,
,3593,Botkin Hollow Road,,,McDowell,VA,24458,38.399700849000048,-79.39166761,,
,3693,Botkin Hollow Road,,,McDowell,VA,24458,38.399632251000071,-79.39319417,,
,1112,Broken Arrow Trail,,,McDowell,VA,24458,38.280954839000060,-79.58763285,,
,428,Buck Hill Road,,,McDowell,VA,24458,38.316841823000061,-79.54837999,,
,67,Bullpasture River Road,,,McDowell,VA,24458,38.331570984000052,-79.48960547,,
McDowell Volunteer Fire Department,102,Bullpasture River Road,,,McDowell,VA,24458,38.332341763000038,-79.49011337,yes,Verify Name
,127,Bullpasture River Road,,,McDowell,VA,24458,38.330394019000039,-79.49184195,,
,151,Bullpasture River Road,,,McDowell,VA,24458,38.331815246000069,-79.49107314,,
,161,Bullpasture River Road,,,McDowell,VA,24458,38.331782751000048,-79.49132098,,
,199,Bullpasture River Road,,,McDowell,VA,24458,38.331464899000018,-79.49207986,,
,263,Bullpasture River Road,,,McDowell,VA,24458,38.331115789000080,-79.49263179,,
,317,Bullpasture River Road,,,McDowell,VA,24458,38.330569275000073,-79.49352883,,
,318,Bullpasture River Road,,,McDowell,VA,24458,38.331449462000080,-79.49306946,,
,326,Bullpasture River Road,,,McDowell,VA,24458,38.332409359000053,-79.4944926,,
