name,addr:housenumber,addr:street,addr:unit:label,addr:unit,addr:city,addr:state,addr:postcode,latitude,longitude,fixme,note
,3222,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497638458000040,-79.5598699,yes,
,3246,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.497420570000031,-79.56032392,yes,
,3344,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.496796473000067,-79.5623487,yes,
,3350,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.496276255000048,-79.56170077,yes,
,3551,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.494157434000037,-79.56205894,yes,
,3557,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.492953219000071,-79.56279486,yes,
,3619,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.492902577000052,-79.56401033,yes,
,3622,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.492901065000069,-79.56430375,yes,
,3662,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.492333411000061,-79.56453778,yes,
,3678,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.492140250000027,-79.56457085,yes,
,3683,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.491990491000017,-79.56424857,yes,
,3698,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.491808507000030,-79.56462699,yes,
,3703,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.491786266000069,-79.56440905,yes,
,3716,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.491575945000079,-79.56472089,yes,
,3721,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.491480416000059,-79.56451001,yes,
,3741,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.491185731000030,-79.56461031,yes,
,3762,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.490733818000081,-79.56508991,yes,
,3766,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.490540025000030,-79.56805365,yes,
,3795,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.490400717000050,-79.56490901,yes,
,3819,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.488862516000040,-79.56340614,yes,
,3837,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.489872618000049,-79.56532225,yes,
,3991,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.489080976000018,-79.56673187,yes,
,4204,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.487635046000030,-79.57141428,yes,
,4277,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.486271745000060,-79.57124976,yes,
,4325,Blue Grass Valley Road,,,Blue Grass,VA,24413,38.485112562000040,-79.57281192,yes,
,188,Ci's Lane,,,Blue Grass,VA,24413,38.454465052000039,-79.58699743,yes,
,667,Elk Run Road,,,Blue Grass,VA,24413,38.500544292000029,-79.525553,yes,
,718,Elk Run Road,,,Blue Grass,VA,24413,38.497061471000052,-79.5261534,yes,
,1379,Elk Run Road,,,Blue Grass,VA,24413,38.495552837000048,-79.52012414,yes,
,824,Folks Drive,,,Blue Grass,VA,24413,38.484510033000049,-79.56276796,yes,
,652,Forest Road 106,,,Blue Grass,VA,24413,38.520098721000068,-79.66109926,yes,
,1657,Forest Road 106,,,Blue Grass,VA,24413,38.528569875000073,-79.67188624,yes,
